Country,Region,Level of transmission,Week,"''"
Austria,Steiermark,Not reported,2020-W04,-
Austria,Steiermark,Not reported,2020-W05,-
Austria,Steiermark,Not reported,2020-W06,-
Austria,Steiermark,Not reported,2020-W07,-
Austria,Steiermark,Not reported,2020-W08,-
Austria,Steiermark,Sporadic,2020-W09,-
Austria,Steiermark,Sporadic,2020-W10,-
Austria,Steiermark,Community,2020-W11,-
Austria,Steiermark,Clusters,2020-W12,-
Austria,Steiermark,Clusters,2020-W13,-
Austria,Steiermark,Clusters,2020-W14,-
Austria,Steiermark,Clusters,2020-W15,-
Austria,Steiermark,Clusters,2020-W16,-
Austria,Steiermark,Clusters,2020-W17,-
Austria,Steiermark,Clusters,2020-W18,-
Austria,Steiermark,Clusters,2020-W19,-
Austria,Steiermark,Sporadic,2020-W20,-
Austria,Steiermark,Clusters,2020-W21,-
Austria,Steiermark,Sporadic,2020-W22,-
Austria,Steiermark,Clusters,2020-W23,-
Austria,Steiermark,Sporadic,2020-W24,-
Austria,Steiermark,Clusters,2020-W25,-
Austria,Steiermark,Clusters,2020-W26,-
Austria,Steiermark,Clusters,2020-W27,-
Austria,Steiermark,Clusters,2020-W28,-
Austria,Steiermark,Clusters,2020-W29,-
Austria,Steiermark,Clusters,2020-W30,-
Austria,Steiermark,Clusters,2020-W31,-
Austria,Steiermark,Sporadic,2020-W32,-
Austria,Steiermark,Sporadic,2020-W33,-
Austria,Steiermark,Community,2020-W34,-
Austria,Steiermark,Community,2020-W35,-
Austria,Steiermark,Community,2020-W36,-
Austria,Steiermark,Community,2020-W37,-
Austria,Steiermark,Community,2020-W38,-
Austria,Steiermark,Not reported,2020-W39,-
Austria,Tirol,Not reported,2020-W01,-
Austria,Tirol,Not reported,2020-W02,-
Austria,Tirol,Not reported,2020-W03,-
Austria,Tirol,Not reported,2020-W04,-
Austria,Tirol,Not reported,2020-W05,-
Austria,Tirol,Not reported,2020-W06,-
Austria,Tirol,Not reported,2020-W07,-
Austria,Tirol,Not reported,2020-W08,-
Austria,Tirol,No cases,2020-W09,-
Austria,Tirol,Clusters,2020-W10,-
Austria,Tirol,Clusters,2020-W11,-
Austria,Tirol,Community,2020-W12,-
Austria,Tirol,Community,2020-W13,-
Austria,Tirol,Community,2020-W14,-
Austria,Tirol,Clusters,2020-W15,-
Austria,Tirol,Clusters,2020-W16,-
Austria,Tirol,Clusters,2020-W17,-
Austria,Tirol,Clusters,2020-W18,-
Austria,Tirol,Sporadic,2020-W19,-
Austria,Tirol,Sporadic,2020-W20,-
Austria,Tirol,Sporadic,2020-W21,-
Austria,Tirol,Sporadic,2020-W22,-
Austria,Tirol,Sporadic,2020-W23,-
Austria,Tirol,Sporadic,2020-W24,-
Austria,Tirol,Sporadic,2020-W25,-
Austria,Tirol,Sporadic,2020-W26,-
Austria,Tirol,Clusters,2020-W27,-
Austria,Tirol,Clusters,2020-W28,-
Austria,Tirol,Clusters,2020-W29,-
Austria,Tirol,Clusters,2020-W30,-
Austria,Tirol,Clusters,2020-W31,-
Austria,Tirol,Clusters,2020-W32,-
Austria,Tirol,Community,2020-W33,-
Austria,Tirol,Clusters,2020-W34,-
Austria,Tirol,Clusters,2020-W35,-
Austria,Tirol,Community,2020-W36,-
Austria,Tirol,Community,2020-W37,-
Austria,Tirol,Community,2020-W38,-
Austria,Tirol,Not reported,2020-W39,-
Austria,Vorarlberg,Not reported,2020-W01,-
Austria,Vorarlberg,Not reported,2020-W02,-
Austria,Vorarlberg,Not reported,2020-W03,-
Austria,Vorarlberg,Not reported,2020-W04,-
Austria,Vorarlberg,Not reported,2020-W05,-
Austria,Vorarlberg,Not reported,2020-W06,-
Austria,Vorarlberg,Not reported,2020-W07,-
Austria,Vorarlberg,Not reported,2020-W08,-
Austria,Vorarlberg,No cases,2020-W09,-
Austria,Vorarlberg,Sporadic,2020-W10,-
Austria,Vorarlberg,Clusters,2020-W11,-
Austria,Vorarlberg,Clusters,2020-W12,-
Austria,Vorarlberg,Clusters,2020-W13,-
Austria,Vorarlberg,Clusters,2020-W14,-
Austria,Vorarlberg,Clusters,2020-W15,-
Austria,Vorarlberg,Clusters,2020-W16,-
Austria,Vorarlberg,Sporadic,2020-W17,-
Austria,Vorarlberg,Sporadic,2020-W18,-
Austria,Vorarlberg,No cases,2020-W19,-
Austria,Vorarlberg,Sporadic,2020-W20,-
Austria,Vorarlberg,Clusters,2020-W21,-
Austria,Vorarlberg,Sporadic,2020-W22,-
Austria,Vorarlberg,Sporadic,2020-W23,-
Austria,Vorarlberg,Sporadic,2020-W24,-
Austria,Vorarlberg,Sporadic,2020-W25,-
Austria,Vorarlberg,Sporadic,2020-W26,-
Austria,Vorarlberg,Sporadic,2020-W27,-
